Detector,Histograma,Channel_191,Channel_764,Offset,Slope
1,ch1_12cm_fast_EFIR,24125.636672325978,63820.03395585738,-157.26047904191626,0.014435286569717709
2,ch2_6cm_epi_EFIR,18030.560271646857,66162.98811544992,-23.647619047619003,0.011904656084656084
3,ch3_pb_HE_EFIR,22461.799660441426,64482.17317487266,-115.29454545454541,0.013636242424242424
4,ch4_naked_th_EFIR,21280.038200339564,60123.11120543294,-122.91599442185424,0.014751664986054635
