Detector,Histograma,Channel_191,Channel_764,Offset,Slope
1,ch1_12cm_fast_EFIR,24991.511035653646,63701.18845500849,-178.9368421052631,0.0148025
2,ch2_6cm_epi_EFIR,18336.16298811545,66281.83361629881,-28.13597733711049,0.011951026912181303
3,ch3_pb_HE_EFIR,21867.57215619694,63837.01188455008,-107.55339805825241,0.013652791262135923
4,ch4_naked_th_EFIR,18471.98641765704,58404.074702886246,-74.06122448979585,0.014349362244897959
