Detector,Histograma,Channel_191,Channel_764,Offset,Slope
1,ch1_12cm_fast_EFIR,24617.996604414257,63497.45331069607,-171.81659388646295,0.01473786026200874
2,ch2_6cm_epi_EFIR,18505.942275042442,66553.48047538199,-29.69611307420496,0.011925689045936399
3,ch3_pb_HE_EFIR,22410.86587436332,64006.79117147706,-117.71836734693875,0.013775387755102045
4,ch4_naked_th_EFIR,18505.942275042442,58404.07470288624,-74.77446808510638,0.014361574468085109
