Detector,Histograma,Channel_191,Channel_764,Offset,Slope
1,ch1_12cm_fast_EFIR,24448.21731748726,63837.01188455007,-164.65517241379308,0.014547284482758624
2,ch2_6cm_epi_EFIR,17826.825127334458,66383.70118845499,-19.367132867132852,0.01180059440559441
3,ch3_pb_HE_EFIR,22241.086587436323,64006.79117147706,-114.13414634146335,0.013719390243902443
4,ch4_naked_th_EFIR,19185.05942275042,58404.07470288624,-89.29870129870125,0.014610259740259741
